solo_KillDeathRatio,solo_WinRatio,solo_Rating,solo_DamagePg,solo_HealsPg,solo_KillsPg,solo_MoveDistancePg,solo_TimeSurvivedPg
1.76,2.7,2372.04,207.51,1.84,1.71,4136.17,1060.57
39.0,100.0,1802.44,648.63,0.67,6.5,6561.44,1858.36
4.0,20.0,1441.38,381.64,2.0,3.2,4331.38,1374.66
3.72,13.04,2244.48,366.55,1.48,3.24,19781.34,1311.52
1.08,2.62,2542.14,124.32,1.19,1.05,2731.73,891.33
1.8,5.77,2261.78,220.86,1.46,1.69,3715.18,1053.76
3.42,9.41,2772.38,350.5,1.61,3.09,4831.64,1275.25
12.38,50.0,1877.96,708.5,2.69,6.19,6693.92,1599.57
4.6,28.57,1828.89,356.95,2.14,3.29,3238.09,1212.28
1.11,5.17,2190.71,138.9,1.55,1.05,5088.83,1296.24
3.1,11.09,2801.83,340.72,3.92,2.76,5143.31,1246.23
2.03,6.35,2080.55,223.15,1.41,1.9,4465.41,1249.96
2.14,6.67,1886.2,250.65,1.23,2.0,2546.21,1118.39
1.78,4.1,2745.13,209.35,2.93,1.71,4540.0,1041.94
3.22,10.0,2004.7,303.51,1.5,2.9,5375.0,1445.0
2.52,6.9,1802.06,245.77,0.79,2.34,2506.95,930.16
1.91,7.94,2109.61,204.56,1.27,1.76,2112.53,883.9
2.39,11.18,2743.57,265.81,1.78,2.12,7200.42,1429.63
1.73,10.34,1942.79,180.67,4.07,1.55,5757.49,1194.38
3.57,7.14,2510.58,361.47,2.64,3.31,5109.99,1193.74
1.11,1.12,2379.04,139.81,1.61,1.09,2330.1,781.7
3.88,9.93,2681.83,394.85,1.52,3.5,2498.24,910.02
1.92,0.0,1595.89,204.36,1.08,1.92,3382.31,952.83
2.71,3.45,1620.51,283.84,2.62,2.62,1488.67,705.37
1.32,3.87,2744.33,145.09,3.55,1.27,4784.72,1132.58
2.48,6.9,2119.58,276.32,2.97,2.31,3826.01,1223.21
3.3,27.03,2521.65,304.34,1.57,2.41,6582.55,1428.31
6.33,22.58,1916.53,536.55,1.23,4.9,2856.38,1039.73
0.0,0.0,1225.39,32.35,0.0,0.0,3298.48,1546.95
1.63,3.65,2662.3,183.79,1.34,1.57,3211.32,1044.31
1.67,2.0,2232.93,197.93,1.09,1.64,2646.88,904.64
3.0,0.0,1261.45,312.79,0.67,3.0,6560.2,1076.55
1.72,5.88,1721.42,204.33,1.79,1.62,2543.7,903.76
1.93,5.08,2256.43,213.52,1.44,1.83,3646.63,1134.56
2.4,0.0,1262.09,322.43,3.0,2.4,4555.13,862.74
5.0,20.0,1440.01,454.09,0.8,4.0,3817.51,1241.02
2.18,9.3,1826.74,217.59,3.26,1.98,4453.22,1211.0
1.55,5.26,2176.09,175.83,2.07,1.46,3064.17,988.85
3.61,6.67,1930.2,369.62,1.73,3.37,2776.29,927.74
2.97,12.5,2284.48,298.78,1.3,2.6,3087.08,955.0
2.19,4.55,1726.85,232.96,1.73,2.09,2586.95,998.15
3.79,15.96,2833.7,348.42,1.68,3.19,4005.47,1093.66
3.39,11.67,2460.55,344.08,1.93,2.99,4818.42,1147.9
3.78,10.0,1635.99,424.98,2.2,3.4,4405.11,1474.7
1.98,10.38,2658.41,221.09,1.54,1.77,5703.26,1279.65
1.79,0.0,1512.0,199.2,1.47,1.79,2495.77,793.97
3.3,4.17,1563.15,357.44,1.29,3.17,2702.43,774.87
2.53,7.01,2748.33,275.28,2.94,2.36,5579.28,1314.11
2.89,5.61,2405.84,322.45,0.92,2.73,1827.42,766.63
2.0,0.0,1221.52,367.61,0.0,2.0,3088.72,1015.42
6.0,50.0,1321.96,334.71,1.5,3.0,3836.15,1056.46
1.56,14.96,2765.48,153.44,1.57,1.32,10670.73,1539.23
1.85,0.0,1992.59,221.9,2.38,1.85,3241.05,1083.78
6.78,30.77,2045.18,500.03,1.77,4.69,6481.74,1504.53
1.99,6.02,2885.58,226.81,1.41,1.87,4468.42,1355.81
2.19,1.41,2077.26,224.17,1.59,2.15,1497.63,737.59
2.68,0.0,1603.66,281.3,1.68,2.68,1911.3,828.39
3.63,22.77,2763.94,312.61,6.84,2.8,6948.84,1669.6
3.04,7.32,2770.8,326.02,2.63,2.82,4333.65,1084.53
1.32,5.93,2386.26,150.28,1.46,1.24,4704.64,1087.57
2.35,7.69,2383.52,242.43,1.77,2.17,3572.43,1006.65
9.0,33.33,1415.36,596.91,3.0,6.0,7755.62,1756.83
