duo_KillDeathRatio,duo_WinRatio,duo_Wins,duo_Rating,duo_DamagePg,duo_HealsPg,duo_KillsPg,duo_MoveDistancePg,duo_RevivesPg,duo_TimeSurvivedPg,duo_RoundMostKills,duo_WinPoints
2.34,6.25,11,2373.77,281.47,2.1,2.19,4879.58,0.19,1063.91,14,1960
7.71,40.62,26,2223.94,587.15,2.95,4.58,5638.31,0.38,1533.85,13,3621
5.0,18.75,3,1753.68,414.01,1.69,4.06,4081.23,0.06,1197.62,11,1435
2.35,5.03,9,2152.11,287.96,1.69,2.23,2791.31,0.15,915.98,9,5088
4.4,0.0,0,1325.23,450.6,1.4,4.4,4782.81,0.2,1278.78,8,1073
6.0,20.59,7,2033.27,533.83,1.76,4.76,3479.63,0.35,1178.76,17,2831
2.65,9.64,8,2387.79,306.51,1.71,2.4,5146.84,0.33,1305.35,10,1974
1.87,15.38,26,2557.22,222.71,2.25,1.59,7930.97,0.18,1500.01,8,4990
2.74,8.0,4,2160.88,290.44,1.72,2.52,4637.05,0.24,1288.49,11,3873
1.36,5.71,2,1714.82,165.13,1.4,1.29,2831.92,0.14,891.58,5,1422
2.51,21.37,78,2586.84,238.61,2.44,1.97,6075.39,0.25,1420.9,11,2171
5.59,26.42,14,2452.32,474.06,3.49,4.11,6052.77,0.36,1401.07,12,2029
2.0,100.0,1,1333.81,209.0,1.0,2.0,6027.84,0.0,1873.65,2,1128
1.95,13.45,16,2244.17,222.54,2.04,1.69,5398.81,0.2,1408.62,9,2858
4.07,30.95,13,2374.25,395.97,2.1,2.81,6348.21,0.38,1520.9,8,1981
3.67,40.0,2,1482.12,313.08,1.8,2.2,4154.24,0.4,1208.6,4,1249
1.3,3.52,8,2058.99,159.63,1.8,1.26,3253.21,0.1,892.65,8,1683
2.87,12.21,16,2346.17,304.74,3.03,2.52,4008.56,0.28,1217.49,10,3347
1.67,12.24,6,2145.1,186.76,2.1,1.47,4068.05,0.14,1117.15,8,2808
1.83,11.48,7,1932.57,213.85,1.66,1.62,3992.24,0.15,931.8,7,2639
2.88,17.78,16,2529.17,301.86,3.23,2.37,6861.56,0.23,1436.06,12,2109
2.75,0.0,0,1865.59,351.5,3.94,2.75,5625.06,0.25,1515.92,8,1545
1.57,9.38,12,2213.63,166.27,1.82,1.42,5732.38,0.19,1224.64,7,3183
3.18,15.19,12,1918.27,344.68,1.68,2.7,3510.91,0.32,1237.7,10,4208
1.79,6.67,6,2335.57,217.26,1.8,1.67,3653.83,0.17,1117.01,8,1929
4.43,27.45,42,2717.51,377.2,2.58,3.22,5103.03,0.27,1276.69,13,3278
2.54,15.38,18,2229.93,274.46,2.95,2.15,3176.35,0.18,1100.12,10,4253
3.42,19.69,63,2593.39,346.45,1.93,2.75,4966.71,0.19,1285.3,14,4863
2.09,4.92,3,2105.07,241.69,2.21,1.98,2816.6,0.25,952.91,8,1735
1.92,7.77,8,2000.91,223.78,1.24,1.77,3521.94,0.13,894.78,8,3858
2.05,15.91,7,2115.53,246.6,1.43,1.73,5069.59,0.23,1242.78,10,1760
3.7,9.62,15,2239.61,415.96,3.01,3.34,3724.35,0.19,1063.51,14,6742
1.58,3.12,2,1920.24,214.64,1.36,1.53,2588.81,0.25,796.55,13,1571
3.68,20.22,90,2571.35,370.51,2.1,2.93,6210.07,0.24,1419.64,11,2133
3.45,18.52,5,1883.65,327.1,1.59,2.81,5415.9,0.26,1390.42,13,2604
5.18,21.57,22,2302.07,518.83,2.42,4.06,4873.67,0.15,1330.34,16,4585
2.31,8.82,6,2305.59,298.06,2.69,2.1,5987.85,0.1,1309.1,9,1917
4.38,11.11,1,1580.59,533.27,2.11,3.89,3674.27,0.11,1139.7,12,2304
1.29,9.15,14,2326.17,161.44,2.33,1.17,3630.11,0.21,1155.66,7,1950
1.89,2.17,1,1691.97,235.0,1.83,1.85,2081.32,0.13,757.41,9,1359
2.52,22.86,8,2410.75,242.55,2.23,1.94,6507.71,0.2,1562.75,13,2029
2.82,26.83,33,2615.52,275.97,2.65,2.07,7528.59,0.17,1492.91,10,2188
3.8,16.94,41,2484.75,392.63,1.71,3.16,4018.72,0.19,1131.0,16,4838
4.83,24.5,49,2353.52,431.44,1.62,3.64,5917.57,0.23,1294.27,14,4866
1.0,16.67,1,1511.58,168.78,0.17,0.83,3648.23,0.17,1247.31,3,1284
2.49,11.85,62,2311.49,272.54,2.99,2.2,3989.64,0.2,1286.14,11,4868
1.16,6.51,11,2213.73,152.16,1.35,1.08,4279.9,0.07,1107.89,7,2964
2.96,15.29,13,2367.94,329.5,2.15,2.51,5414.4,0.25,1413.98,10,1956
3.3,23.71,78,2826.17,297.56,1.93,2.52,5444.01,0.26,1473.91,15,2370
1.19,10.39,8,2294.44,145.29,2.48,1.06,5636.19,0.29,1381.79,8,3137
1.96,4.17,4,2293.78,268.94,2.56,1.88,4403.22,0.18,1241.37,8,1900
2.69,15.52,9,2143.62,266.37,2.05,2.28,4148.78,0.16,1131.56,8,2933
2.29,5.41,2,1950.76,280.68,2.11,2.16,3771.71,0.14,1111.84,9,1610
3.44,16.13,15,2322.5,370.03,2.04,2.88,4947.93,0.26,1366.45,12,1919
1.47,2.88,6,2151.06,189.35,2.09,1.42,2872.12,0.13,886.89,8,1763
1.78,5.81,5,2085.22,218.64,1.29,1.67,2609.4,0.12,863.64,10,1708
5.53,29.56,47,2329.18,457.86,2.27,3.89,7183.69,0.26,1305.76,14,8292
2.04,17.71,31,2493.62,216.7,2.53,1.68,7279.55,0.2,1593.87,11,4418
3.25,28.21,11,1953.87,290.62,2.64,2.33,3950.35,0.15,1240.12,10,2683
3.24,12.79,11,2438.66,338.03,1.99,2.83,5001.17,0.23,1304.56,11,4370
2.08,5.99,16,2339.89,235.95,2.06,1.95,2623.59,0.17,956.93,12,1930
1.91,14.55,8,1923.76,185.53,1.53,1.64,4311.85,0.18,1142.06,6,1590
3.0,17.24,10,2414.8,304.28,1.6,2.48,5892.61,0.19,1332.08,10,3027
1.82,4.14,6,2268.25,245.38,2.07,1.74,3254.13,0.28,1074.91,11,1886
1.86,4.21,8,2218.56,227.01,1.59,1.78,3243.9,0.12,879.64,12,1817
2.1,11.56,17,2183.07,231.58,2.01,1.86,3861.86,0.17,1127.0,8,1805
4.06,23.73,28,2464.97,418.57,2.3,3.09,5617.64,0.28,1439.82,13,3512
3.33,25.0,4,1861.62,359.96,1.06,2.5,4140.71,0.25,1079.51,9,1550
