,tracker_id,solo_WinRatio,solo_Wins,solo_KillDeathRatio,solo_Rating,solo_KillsPg,solo_DamagePg,solo_HealsPg
75038,41716,0.0,0,1.2,2029.62,1.2,145.44,1.17
75039,113223,0.0,0,0.86,1718.18,0.86,111.16,1.23
75040,114254,0.0,3,0.55,1391.94,0.5,56.87,0.22
75041,101391,0.0,2,2.07,1642.0,2.0,242.83,1.22
75042,68631,0.0,3,2.46,1688.26,2.23,242.27,1.45
75043,168519,0.0,1,1.07,1687.04,1.06,119.86,0.61
75044,45728,0.0,3,1.48,1717.66,1.43,173.62,0.93
75045,217912,0.0,0,1.24,1437.0,1.24,158.41,0.76
75046,182172,0.0,0,0.42,1672.41,0.42,54.66,0.97
75047,174066,0.0,0,1.54,1750.67,1.54,178.33,0.63
75048,98267,0.0,0,1.4,2065.68,1.4,173.1,1.33
75049,115684,0.0,0,0.73,1298.0,0.73,100.18,1.17
75050,52786,0.0,0,1.18,1994.86,1.18,144.96,1.86
75051,135060,0.0,0,1.53,1404.89,1.53,158.35,1.16
75052,118476,0.0,0,1.31,1422.22,1.31,150.62,1.2
75053,92341,0.0,0,2.06,1250.82,2.06,216.86,0.19
75054,186239,0.0,0,1.17,1545.55,1.17,143.19,1.57
75055,130969,0.0,2,2.21,1898.86,2.1,250.7,1.76
75056,132676,0.0,1,1.84,1645.56,1.79,215.77,2.58
75057,159831,0.0,1,1.15,1635.67,1.12,133.45,0.77
75058,73135,0.0,0,1.73,1631.49,1.73,193.73,1.73
75059,152148,0.0,1,0.49,1533.34,0.48,61.04,2.76
75060,33081,0.0,12,1.73,2118.91,1.6,195.87,1.89
75061,91030,0.0,6,1.76,2202.65,1.65,202.55,1.35
75062,165563,0.0,2,0.99,1549.95,0.98,127.09,1.42
75063,180442,0.0,1,1.5,1771.93,1.45,172.26,1.0
75064,204707,0.0,0,0.76,1576.22,0.76,93.02,0.78
75065,160139,0.0,0,1.02,1798.95,1.02,129.76,0.82
75066,97081,0.0,0,0.59,1806.51,0.59,87.56,0.43
75067,221777,0.0,1,1.04,1412.79,1.0,112.4,0.69
75068,9321,0.0,0,1.03,1801.71,1.03,132.97,1.92
75069,101224,0.0,1,1.02,1713.94,1.0,124.36,0.63
75070,52148,0.0,1,1.52,1713.48,1.49,169.5,0.42
75071,113814,0.0,3,0.94,1960.38,0.93,118.96,1.38
75072,144198,0.0,0,1.7,1465.51,1.7,224.36,1.6
75073,16189,0.0,2,0.79,1887.31,0.78,102.7,1.06
75074,15139,0.0,5,1.76,2583.98,1.71,198.23,1.53
75075,145443,0.0,1,1.11,1685.47,1.08,127.94,0.73
75076,183515,1.0,1,9.0,1346.03,9.0,759.39,10.0
75077,145304,0.0,2,2.05,1482.78,1.87,214.66,2.91
75078,76237,0.0,0,0.91,1608.82,0.91,120.49,0.69
75079,55239,0.0,0,0.67,1258.69,0.67,64.74,1.11
75080,59761,0.0,0,1.26,2092.81,1.26,157.72,1.45
75081,178953,0.0,1,0.62,1622.74,0.62,85.51,0.73
75082,67280,0.0,7,2.01,2395.74,1.92,220.53,1.4
75083,211949,0.0,0,2.0,1261.98,2.0,278.79,4.0
75084,122958,0.0,1,1.14,2027.41,1.13,142.88,1.04
75085,216826,0.0,2,0.94,2024.17,0.92,114.71,2.04
75086,27861,0.0,1,3.33,1867.58,3.23,372.35,1.39
75087,177673,0.0,0,0.97,1483.6,0.97,102.39,0.9
75088,53269,0.0,2,1.07,1731.91,1.06,138.58,1.35
75089,24796,0.0,2,2.07,1372.4,1.98,221.09,1.76
75090,50436,0.0,1,1.0,2089.34,0.98,120.55,1.34
75091,180946,0.0,0,2.1,1534.92,2.1,229.24,2.71
75092,3649,1.0,1,10.0,1337.24,10.0,1070.38,2.0
75093,209428,0.0,3,0.87,2177.85,0.86,108.32,0.88
75094,20035,0.0,0,3.0,1233.21,3.0,565.05,1.0
75095,87074,0.0,0,1.08,1946.03,1.08,130.22,1.78
75096,96828,0.0,0,2.5,1234.94,2.5,252.36,2.33
75097,157408,1.0,4,3.76,1742.99,3.16,373.25,2.44
75098,182805,0.0,1,1.35,1832.33,1.32,159.94,1.39
75099,133075,0.0,1,1.24,2099.61,1.23,160.77,2.73
75100,98819,0.0,5,2.28,1721.1,2.1,224.74,1.81
75101,173889,0.0,0,0.49,1320.98,0.49,68.68,0.73
75102,72191,1.0,4,4.25,2137.54,3.54,398.33,1.0
75103,181916,0.0,3,0.41,1668.5,0.4,52.94,0.97
75104,151834,0.0,2,1.5,1922.74,1.44,196.14,3.12
75105,158780,0.0,0,1.1,1740.38,1.1,132.75,1.79
75106,210775,0.0,3,2.26,1932.29,2.06,227.05,1.74
75107,123823,0.0,0,0.93,1502.47,0.93,115.24,0.86
75108,218216,0.0,2,0.93,1702.93,0.92,115.72,1.41
75109,21540,0.0,2,1.34,1734.49,1.26,152.87,0.84
75110,85357,0.0,5,2.09,1913.43,1.82,188.72,0.92
75111,56489,1.0,3,6.4,1642.67,4.0,389.52,0.75
75112,198422,0.0,1,3.0,1497.0,2.7,279.43,1.2
75113,36612,0.0,2,1.56,1981.56,1.52,178.84,1.86
75114,176479,0.0,2,1.32,1692.22,1.27,145.97,0.71
75115,126042,0.0,0,0.2,1210.0,0.2,37.89,2.2
75116,40684,0.0,2,2.74,1627.03,2.48,273.64,1.0
75117,221426,0.0,4,1.0,1870.68,0.97,117.9,1.03
75118,161256,0.0,1,0.98,1743.14,0.97,142.42,1.63
75119,46047,0.0,2,1.0,2124.72,1.0,130.25,1.17
75120,160947,0.0,0,0.0,1177.54,0.0,9.9,0.0
75121,132855,0.0,5,1.13,2024.33,1.06,113.33,2.01
75122,137385,0.0,2,1.25,1448.31,1.15,129.4,0.38
75123,121248,0.0,0,1.26,1660.7,1.26,147.49,1.91
75124,74662,0.0,1,0.96,1936.65,0.95,117.36,0.73
75125,39546,0.0,1,1.08,1824.01,1.07,128.61,1.85
75126,65362,0.0,0,1.39,1765.98,1.39,168.39,0.97
75127,155987,0.0,0,0.7,1258.49,0.7,94.37,0.7
75128,100919,0.0,1,0.9,1503.66,0.89,111.83,1.71
75129,178473,0.0,0,1.17,1361.99,1.17,160.34,1.17
75130,191520,0.0,0,0.91,1375.45,0.91,111.34,1.0
75131,103528,0.0,0,0.61,1685.67,0.61,80.3,1.0
75132,7684,0.0,1,3.85,1490.79,3.57,372.2,1.21
75133,32440,0.0,1,0.45,2332.95,0.45,59.41,1.8
75134,54145,0.0,1,2.05,1749.22,1.95,225.11,0.45
75135,49729,0.0,0,0.67,1745.13,0.67,90.59,0.74
75136,158689,0.0,1,1.11,1573.8,1.05,111.84,1.37
75137,49310,0.0,1,1.11,1531.01,1.08,121.52,0.81
75138,134018,0.0,2,1.17,2006.4,1.15,150.94,1.04
75139,130214,0.0,0,1.0,1709.93,1.0,128.88,0.77
75140,138059,0.0,0,1.92,1700.06,1.92,210.66,1.65
75141,167513,0.0,4,1.83,1765.06,1.73,204.68,1.7
75142,113394,0.0,0,1.32,1389.69,1.32,169.81,1.79
75143,54254,0.0,1,2.24,2048.29,2.19,254.06,2.3
75144,32765,0.0,0,1.04,1629.66,1.04,123.62,0.75
75145,115128,0.0,1,1.61,1661.24,1.56,167.72,1.85
75146,139545,0.0,1,2.11,1424.28,2.0,211.33,0.74
75147,175099,0.0,0,0.81,1352.39,0.81,93.82,1.06
75148,87404,0.0,1,0.98,1561.19,0.97,120.56,0.64
75149,181468,0.0,0,1.33,2079.6,1.33,176.34,1.56
75150,218124,0.0,2,1.04,1649.39,1.0,119.04,1.43
75151,207387,0.0,0,1.07,1640.71,1.07,138.6,1.26
75152,209295,0.0,1,0.7,1797.31,0.7,97.13,1.03
75153,3031,0.0,1,0.58,2062.18,0.58,75.44,1.61
75154,29470,0.0,1,1.38,1459.82,1.35,158.91,1.7
75155,181869,0.0,1,1.05,1658.7,1.05,130.38,1.24
75156,179546,0.0,1,1.63,2118.2,1.61,201.81,1.75
75157,78019,0.0,0,1.6,1704.72,1.6,207.1,1.07
75158,147690,0.0,6,2.04,2121.4,1.97,223.46,1.1
75159,208560,0.0,7,1.5,2059.89,1.42,177.07,1.48
75160,84728,0.0,1,1.1,2204.55,1.09,138.33,0.87
75161,134648,0.0,0,1.85,1357.37,1.85,193.39,2.77
75162,145097,0.0,3,0.82,2070.03,0.8,105.55,1.4
75163,31258,0.0,0,3.0,1257.8,3.0,228.08,1.0
75164,141370,0.0,2,0.67,1837.62,0.66,98.83,0.72
75165,71585,0.0,1,1.08,2195.58,1.07,133.16,0.96
75166,153602,0.0,0,1.6,1998.77,1.6,187.95,1.29
75167,196089,0.0,0,0.7,1216.7,0.7,113.03,0.1
75168,54179,0.0,3,1.02,1924.12,1.01,127.89,1.08
75169,143737,0.0,0,1.43,1264.48,1.43,159.95,0.48
75170,209989,0.0,0,0.42,1393.28,0.42,60.76,0.87
75171,41394,1.0,2,5.67,1509.7,4.25,441.49,1.0
75172,170711,0.0,0,1.43,1394.12,1.43,169.71,0.68
75173,142068,0.0,1,0.56,1609.19,0.56,69.84,1.24
75174,112949,0.0,1,0.97,1690.4,0.95,123.17,3.05
75175,187232,0.0,0,0.0,1154.29,0.0,19.8,0.0
75176,70878,0.0,1,0.6,1784.38,0.59,72.28,1.61
75177,105067,0.0,3,1.16,1612.66,1.09,139.43,1.09
75178,42914,0.0,2,1.48,2096.3,1.45,179.32,2.19
75179,173365,0.0,0,6.67,1386.7,6.67,674.03,0.67
75180,11958,0.0,0,1.14,1638.0,1.14,141.65,1.0
75181,61343,1.0,1,2.0,1351.71,1.6,165.37,0.8
75182,175477,0.0,0,3.0,1278.23,3.0,275.7,3.0
75183,155655,0.0,0,0.6,1224.38,0.6,60.12,0.6
75184,39027,0.0,3,1.3,1860.14,1.22,132.08,0.8
75185,23961,0.0,1,1.28,1890.34,1.27,156.58,1.13
75186,166127,0.0,0,3.4,1298.75,3.4,344.15,0.4
75187,203795,0.0,1,2.47,1597.36,2.33,234.0,1.22
75188,117575,0.0,2,1.92,2322.86,1.85,213.86,1.46
75189,221639,0.0,1,1.22,1997.28,1.21,136.77,1.76
75190,26844,0.0,0,0.56,2026.16,0.56,78.95,2.04
75191,80697,0.0,2,0.96,1599.16,0.89,94.46,0.43
75192,54188,0.0,1,0.74,1910.08,0.74,93.77,1.12
75193,185976,0.0,0,1.05,2071.89,1.05,128.26,1.19
75194,152971,0.0,0,0.84,1592.87,0.84,112.4,0.89
75195,172622,0.0,0,1.5,1395.53,1.5,187.7,1.89
75196,26733,0.0,1,1.4,1678.45,1.38,175.79,1.08
75197,199550,0.0,0,1.0,1352.5,1.0,126.07,1.6
75198,24411,0.0,3,1.59,2230.16,1.54,179.25,1.41
75199,171545,0.0,0,1.28,1776.79,1.28,156.72,1.1
75200,210989,0.0,0,0.0,1192.85,0.0,68.59,0.0
75201,156179,0.0,1,0.95,1713.75,0.93,108.75,1.16
75202,102550,0.0,3,1.82,1999.85,1.65,209.78,1.23
75203,74177,0.0,2,1.88,1803.83,1.84,215.55,0.9
75204,157830,0.0,1,1.45,1950.42,1.44,176.73,1.11
75205,124636,0.0,1,1.47,1843.02,1.45,175.4,0.9
75206,185277,0.0,4,2.07,1853.31,1.81,208.61,1.29
75207,96438,1.0,1,7.5,1376.29,5.0,473.57,0.0
75208,162183,0.0,0,1.17,1406.42,1.17,140.74,0.41
75209,206490,0.0,1,1.33,1688.13,1.27,169.47,1.0
75210,119107,0.0,3,0.9,1794.74,0.89,118.91,0.81
75211,120007,0.0,2,0.67,1836.92,0.66,86.48,1.32
